AirportCodeCityNameWorldAreaCode
ALP,ALEPPO,SYRIA,676
ALQ,ALEGRETE,BRAZIL,316
ALR,ALEXANDRA,NEWZEALAND,851
ALS,ALAMOSA,COLORADO,USA,82
ALT,ALENQUER,BRAZIL,316
ALU,ALULA,SOMALIA,573
ALV,ANDORRALAVELLA,ANDORRA,402
ALW,WALLAWALLA,WASHINGTON,USA,93
ALX,ALEXANDERCITY,ALABAMA,USA,51
ALY,ALEXANDRIA,ARABREP.OFEGYPT,591
ALZ,ALITAK,ALASKA,USA,1
AMA,AMARILLO,TEXAS,USA,74
AMB,AMBILOBE,DEM.REP.MADAGASCAR,541
AMC,AMTIMAN,CHAD,511
AMD,AHMEDABAD,INDIA,733
AME,ALTOMOLOCUE,MOZAMBIQUE,550
AMF,AMA,PAPUANEWGUINEA,804
AMG,AMBOIN,PAPUANEWGUINEA,804
AMH,ARBAMINTCH,ETHIOPIA,522
AMI,AMPENAN,INDONESIA,832
AMJ,ALMENARA,BRAZIL,316
AMK,DURANGO,COLORADO,USA,82
AML,PUERTOARMUELLES,PANAMAREP.,162
AMM,AMMAN,JORDAN,639
AMN,ALMA,MICHIGAN,USA,43
AMO,MAO,CHAD,511
AMP,AMPANIHY,DEM.REP.MADAGASCAR,541
AMQ,AMBON,INDONESIA,832
AMR,ARNO,MARSHALLISLANDS,844
AMS,AMSTERDAM,NETHERLANDS,461
AMT,AMATA,N.T.,AUSTRALIA,802
AMU,AMANAB,PAPUANEWGUINEA,804
AMV,AMDERMA,RUSSIA,770
AMW,AMES,IOWA,USA,61
AMX,AMMAROO,N.T.,AUSTRALIA,802
AMY,AMBATOMAINTY,DEM.REP.MADAGASCAR,541
AMZ,ARDMORE,NEWZEALAND,851
ana,ANAA,FR.POLYNESIA,S.PACIFIC,823
ANB,ANNISTON,ALABAMA,USA,51
ANC,ANCHORAGE,ALASKA,USA,1
AND,ANDERSON,SOUTHCAROLINA,USA,37
ANE,ANGERS,FRANCE,427
ANF,ANTOFAGASTA,CHILE,324
ANG,ANGOULEME,FRANCE,427
ANH,ANUHAISLANDRESORT,SOLOMONISLAND,874
ANI,ANIAK,ALASKA,USA,1
ANJ,ZANAGA,PEOP.REP.OFTHECONGO,515
ANL,ANDULO,ANGOLA,502
ANM,ANTALAHA,DEM.REP.MADAGASCAR,541
ANN,ANNETTEISLAND,ALASKA,USA,1
ANO,ANGOCHE,MOZAMBIQUE,550
ANP,ANNAPOLIS,MARYLAND,USA,35
ANQ,ANGOLA,INDIANA,USA,42
ANR,ANTWERP,BELGIUM,409
ANS,ANDAHUAYLAS,PERU,368
ANU,ANTIGUA,WESTINDIES,206
ANV,ANVIK,ALASKA,USA,1
ANW,AINSWORTH,NEBRASKA,USA,65
ANX,ANDENES,NORWAY,465
ANY,ANTHONY,KANSAS,USA,62
ANZ,ANGASDOWNS,N.T.,AUSTRALIA,802
AOA,AROA,PAPUANEWGUINEA,804
AOB,ANNANBERG,PAPUANEWGUINEA,804
AOC,ALTENBURG,FED.REP.OFGERMANY,429
AOD,ABOUDEIA,CHAD,511
AOG,ANSHAN,P.R.CHINA,713
AOH,LIMA,OHIO,USA,44
AOI,ANCONA,ITALY,450
AOJ,AOMORI,JAPAN,736
AOK,KARPATHOS,GREECE,433
AOL,PASODELOSLIBRES,ARGENTINA,303
AON,ARONA,PAPUANEWGUINEA,804
AOO,ALTOONA,PENNSYLVANIA,USA,23
AOR,ALORSTAR,MALAYSIA,749
AOS,AMOOK,ALASKA,USA,1
AOU,ATTOPEU,LAOS,744
APA,DENVER,COLORADO,USA,82
APB,APOLO,BOLIVIA,312
APC,NAPA,CALIFORNIA,USA,91
APE,SANJUANAPOSENTO,PERU,368
APF,NAPLES,FLORIDA,USA,33
APG,ABERDEEN,MARYLAND,USA,35
APH,BOWLINGGREEN,VIRGINIA,USA,38
API,APIAY,COLOMBIA,327
APK,APATAKI,FR.POLYNESIA,823
APL,NAMPULA,MOZAMBIQUE,550
APN,ALPENA,MICHIGAN,USA,43
APO,APARTADO,COLOMBIA,327
APP,ASAPA,PAPUANEWGUINEA,804
APQ,ARAPIRACA,AL,BRAZIL,316
APR,APRILRIVER,PAPUANEWGUINEA,804
APS,ANAPOLIS,BRAZIL,316
APT,JASPER,TENNESSEE,USA,54
APU,APUCARANA,BRAZIL,316
APV,APPLEVALLEY,CALIFORNIA,USA,91
APW,APIA,W.SAMOA,892
APX,ARAPONGAS,BRAZIL,316
APY,ALTOPARNAIBA,BRAZIL,316
APZ,ZAPALA,ARGENTINA,303
AQA,ARARAQUARA,BRAZIL,316
AQG,ANQING,P.R.CHINA,713
AQI,QAISUMAH,SAUDIARABIA,670
AQJ,AQABA,JORDAN,639
AQM,ARIQUEMES,BRAZIL,316
AQP,AREQUIPA,PERU,368
AQS,SAQANI,FIJI,821
AQY,ALYESKA,ALASKA,USA,1
ARA,NEWIBERIA,LOUISIANA,USA,72
ARB,ANNARBOR,MICHIGAN,USA,43
ARC,ARCTICVILLAGE,ALASKA,USA,1
ARD,ALOR,INDONESIA,832
ARE,ARECIBO,PUERTORICO,3
ARF,ACARICUARA,COLOMBIA,327
ARG,WALNUTRIDGE,ARKANSAS,USA,71
ARH,ARKHANGEL'SK,RUSSIA,475
ARI,ARICA,CHILE,324
ARJ,ARSO,INDONESIA,832
ARK,ARUSHA,TANZANIA,585
ARL,ARLY,BURKINAFASO,593
ARM,ARMIDALE,N.S.W.,AUSTRALIA,802
ARN,STOCKHOLM,SWEDEN.,484
ARO,ARBOLETAS,COLOMBIA,327
ARP,ARAGIP,PAPUANEWGUINEA,804
ARQ,ARAUQUITA,COLOMBIA,327
ARR,ALTORIOSENGUERR,ARGENTINA,303
ARS,ARAGARCAS,BRAZIL,316
ART,WATERTOWN,NEWYORK,USA,22
ARU,ARACATUBA,BRAZIL,316
ARV,MINOCQUA,WISCONSIN,USA,45
ARW,ARAD,ROMANIA,473
ARX,ASBURYPARK,NEWJERSEY,USA,21
ARY,ARARAT,VIC.,AUSTRALIA,802
ARZ,N'ZETO,ANGOLA,502
ASA,ASSAB,ERITREA,523
ASB,ASHKHABAD,TURKMENISTAN,785
ASC,ASCENSION,BOLIVIA,312
ASD,ANDROSTOWN,BAHAMAS,204
ASE,ASPEN,COLORADO,USA,82
ASF,ASTRAKHAN,RUSSIA,475
ASG,ASHBURTON,NEWZEALAND,851
ASH,NASHUA,NEWHAMPSHIRE,USA,14
ASI,ASCENSIONISLAND,ST.HELENA,580
ASJ,AMAMIOSHIMA,JAPAN,736
ASK,YAMOUSSOUKRO,COTED'IVOIRE,533
ASL,MARSHALL,TEXAS,USA,74
ASM,ASMARA,ERITREA,523
ASN,TALLADEGA,ALABAMA,USA,51
ASO,ASOSA,ETHIOPIA,522
ASP,ALICESPRINGS,N.T.,AUSTRALIA,802
ASQ,AUSTIN,NEVADA,USA,85
