Origin,Destination,Count
MCI,IAH,2527
MCI,MDW,3850
MCI,ORD,3837
MCO,ATL,9611
MCO,BOS,3478
MCO,BWI,4926
MCO,CLT,3276
MCO,DEN,2997
MCO,DFW,4114
MCO,DTW,3477
MCO,EWR,4977
MCO,IAD,4094
MCO,JFK,5371
MCO,LGA,3156
MCO,MDW,3565
MCO,ORD,3978
MCO,PHL,7034
MDW,ATL,3257
MDW,BNA,3016
MDW,BWI,2776
MDW,CLE,2556
MDW,CMH,2644
MDW,DEN,4325
MDW,DTW,3070
MDW,LAS,3832
MDW,MCI,3885
MDW,MCO,3568
MDW,PHL,2664
MDW,PHX,2800
MDW,STL,3784
MEM,ATL,4870
MEM,CLT,2576
MEM,IAH,3079
MEM,MSP,2845
MEM,ORD,3769
MFE,IAH,2665
MFR,SFO,2571
MGM,ATL,2514
MHT,BWI,3628
MIA,ATL,6623
MIA,CLT,2970
MIA,DCA,2982
MIA,DFW,3346
MIA,EWR,2873
MIA,IAH,2734
MIA,JFK,2743
MIA,LGA,3587
MIA,ORD,3343
MIA,SJU,2559
MKE,ATL,3606
MKE,EWR,2524
MKE,MSP,3464
MKE,ORD,3541
MLI,ATL,2592
MLI,ORD,2580
MRY,LAX,2758
MSN,ORD,4943
MSP,ATL,5369
MSP,DEN,5374
MSP,DFW,2851
MSP,DTW,5459
MSP,EWR,3144
MSP,LGA,2723
MSP,MEM,2551
MSP,MKE,3619
MSP,ORD,9356
MSP,PHX,3515
MSY,ATL,4695
MSY,DFW,2501
MSY,HOU,3737
MSY,IAH,4257
OAK,BUR,5420
OAK,DEN,3101
OAK,LAS,4642
OAK,LAX,7578
OAK,ONT,3701
OAK,PHX,4213
OAK,SAN,5851
OAK,SEA,5047
OAK,SLC,3146
OAK,SNA,3645
OGG,HNL,12383
OKC,DEN,2848
OKC,DFW,2845
OKC,IAH,2635
OMA,DEN,3231
OMA,ORD,4045
ONT,LAS,3494
ONT,OAK,3697
ONT,PHX,5628
ONT,SJC,2742
ONT,SMF,3803
ORD,ATL,7449
ORD,AUS,2515
ORD,BDL,3335
ORD,BNA,3905
ORD,BOS,7133
ORD,BUF,3437
ORD,BWI,3552
ORD,CID,4154
ORD,CLE,4567
ORD,CLT,6013
ORD,CMH,4664
ORD,CVG,5993
ORD,DCA,7430
ORD,DEN,5773
ORD,DFW,8093
ORD,DSM,4823
ORD,DTW,7602
ORD,EWR,7174
ORD,FWA,2956
ORD,GRB,3631
ORD,GRR,3699
ORD,HPN,3624
ORD,IAD,2891
ORD,IAH,5463
ORD,ICT,3001
ORD,IND,4103
ORD,JFK,3684
ORD,LAS,5257
ORD,LAX,6974
ORD,LGA,10770
ORD,MCI,3900
ORD,MCO,3798
ORD,MEM,3782
ORD,MIA,3343
ORD,MKE,3400
ORD,MLI,2579
ORD,MSN,4878
ORD,MSP,9688
ORD,OMA,4097
ORD,PHL,6733
ORD,PHX,5124
ORD,PIA,3256
ORD,PIT,3611
ORD,RDU,3140
ORD,ROC,2550
ORD,SAN,3308
ORD,SDF,3496
ORD,SEA,4802
ORD,SFO,5524
ORD,SLC,2860
ORD,SNA,2580
ORD,STL,4558
ORD,XNA,3116
ORF,ATL,2784
PBI,ATL,4262
PBI,EWR,2770
PBI,JFK,2531
PDX,DEN,4654
PDX,LAS,3564
PDX,LAX,3517
PDX,PHX,3946
PDX,SFO,3088
PDX,SLC,3277
PFN,ATL,2548
PHF,ATL,4157
PHL,ATL,6918
PHL,BOS,6384
PHL,CLT,3545
PHL,DEN,2961
PHL,DFW,3485
PHL,DTW,2760
PHL,FLL,2977
PHL,LAS,2836
PHL,MCO,7032
PHL,MDW,2652
PHL,ORD,7078
PHL,PHX,2885
PHL,PIT,3188
PHL,PVD,2550
PHL,RDU,3347
PHL,TPA,3390
PHX,ABQ,5234
PHX,ATL,4607
PHX,AUS,2786
PHX,BUR,4754
PHX,DEN,8402
PHX,DFW,5387
PHX,DTW,2929
PHX,ELP,4155
PHX,EWR,2579
PHX,IAH,4197
PHX,LAS,10337
PHX,LAX,9992
PHX,MDW,2795
PHX,MSP,3508
PHX,OAK,4150
PHX,ONT,5627
PHX,ORD,5130
PHX,PDX,3948
PHX,PHL,2883
PHX,RNO,2776
PHX,SAN,7609
PHX,SAT,2783
PHX,SEA,5072
PHX,SFO,4884
PHX,SJC,4050
PHX,SLC,7177
PHX,SMF,4134
PHX,SNA,5497
PHX,STL,2755
PHX,TUS,3684
PIA,ORD,3259
PIT,ATL,4557
PIT,ORD,3521
PIT,PHL,4169
PNS,ATL,4430
PSP,LAX,2597
PVD,BWI,3981
PVD,PHL,2563
RDU,ATL,5418
RDU,BOS,3870
RDU,DCA,2772
RDU,JFK,3989
RDU,LGA,4135
RDU,ORD,3094
RDU,PHL,3363
RIC,ATL,4536
RNO,LAS,4508
RNO,PHX,2779
RSW,ATL,4196
SAN,ATL,2855
SAN,DEN,5263
SAN,DFW,3528
SAN,LAS,5902
SAN,LAX,11224
SAN,OAK,5831
SAN,ORD,2948
SAN,PHX,7581
SAN,SEA,2831
SAN,SFO,6769
SAN,SJC,5286
SAN,SLC,2549
SAN,SMF,4603
SAT,ATL,3241
SAT,DAL,4999
SAT,DEN,2510
SAT,DFW,5413
SAT,HOU,2582
SAT,IAH,3755
SAT,PHX,2767
SAV,ATL,3888
SBA,LAX,4498
SBA,SFO,3047
SBP,LAX,2682
SDF,ATL,2756
SDF,ORD,3497
SEA,ANC,6256
SEA,ATL,2571
SEA,DEN,6623
SEA,DFW,3917
SEA,GEG,4346
SEA,LAS,5051
SEA,LAX,6865
SEA,OAK,5095
SEA,ORD,4608
